           ?       984.8           ?           ?        19.5           ?        0.39     6893.42           ?      437.88           ?           ?        0.13
        0.08           ?           ?          63       19.59        14.7           ?     6893.32      253.03      439.08           ?           ?        0.13
        0.12           ?           ?           ?           ?        14.6        0.55           ?           ?      439.38      136.51          88        0.12
        0.15      984.79           ?          63           ?        14.6           ?     6893.21           ?           ?           ?          88        0.14
        0.13       984.8           ?        63.5        19.5           ?        0.74           ?           ?      440.69      136.69          88        0.17
           ?       984.7       35.41           ?           ?           ?        0.79           ?           ?      441.71           ?           ?        0.14
           ?       984.7           ?        63.5        19.5        14.6        0.82     6893.19           ?           ?      136.69           ?        0.14
           ?           ?        36.8           ?        19.4        14.5        0.86     6893.09           ?           ?           ?           ?        0.14
        0.12           ?        36.8        63.7        19.4           ?        0.89           ?           ?       444.1       136.4           ?        0.11
        0.14       984.8        36.7        64.5           ?        14.5           ?     6893.19           ?       445.9           ?        87.4        0.09
           ?       984.7        37.5           ?        19.3        14.5           ?      6893.1      255.91           ?           ?           ?        0.16
        0.14       984.7           ?           ?        19.3        14.5           ?           ?           ?           ?           ?           ?        0.18
        0.14           ?        36.5        64.4           ?           ?           ?           ?           ?           ?           ?           ?        0.18
        0.14       984.7        36.5           ?           ?           ?           ?        6893       257.7       450.6       135.4           ?        0.19
        0.11           ?           ?           ?        19.3           ?        0.96           ?           ?       451.2       135.3           ?        0.15
           ?           ?        36.8           ?           ?        14.5        0.94      6892.9       257.5       451.8       135.2           ?        0.14
        0.16           ?           ?        64.5           ?        14.5        0.96      6892.8           ?           ?       135.2           ?        0.15
           ?           ?        38.4        64.8           ?        14.5           ?           ?       259.5           ?           ?          87        0.16
           ?           ?        37.5           ?        19.5           ?           ?           ?       260.1           ?           ?           ?        0.21
           ?       984.7          38        65.2           ?        14.5        1.06      6892.8           ?       452.8       135.7           ?        0.17
        0.15       984.7           ?           ?        19.5        14.5           ?      6892.8           ?         453           ?           ?        0.12
           ?           ?        37.5           ?           ?           ?        1.09      6892.8           ?       452.9       136.1          87         0.2
        0.15           ?           ?        64.9        19.4           ?           ?           ?      262.78       453.5       136.2           ?        0.14
           ?           ?           ?        64.3           ?           ?           ?           ?      261.28           ?       136.2          87        0.16
        0.21      984.67        36.4           ?           ?           ?        1.19           ?           ?           ?       136.2           ?        0.17
           ?       984.6        36.7           ?           ?        14.5        1.18           ?           ?           ?       136.1          87        0.21
           ?           ?        35.9          64           ?        14.5        1.11     6892.49           ?       450.4       135.9           ?        0.16
         0.2       984.6        36.8           ?        19.3        14.5        1.16           ?           ?           ?           ?           ?        0.17
           ?       984.7           ?           ?           ?        14.5           ?           ?           ?       449.2       135.5          87        0.17
           ?       984.6        37.3           ?        19.3        14.5           ?           ?      255.91           ?       135.4          87        0.18
           ?           ?        36.9           ?        19.2        14.5           ?           ?      256.51           ?           ?           ?        0.16
