?     ?     3.753
?     ?     3.628
?     ?     2.286
2.537 ?     3.728
?     3.731 3.651
?     ?     3.180
?     ?     3.029
?     ?     2.125
?     2.793 3.378
3.088 ?     3.277
?     ?     2.627
2.996 ?     2.404
?     ?     2.340
?     ?     2.887
?     3.577 2.036
2.278 ?     2.022
?     ?     2.804
?     3.023 3.371
?     ?     2.020
3.756 ?     2.756
?     ?     3.126
?     2.711 3.551
2.179 ?     3.781
?     2.106 2.160
?     ?     3.561
?     ?     3.052
2.306 ?     3.875
?     ?     2.909
?     ?     3.349
?     ?     3.370
?     ?     2.624
?     3.317 3.949
?     ?     2.743
?     ?     3.100
?     ?     3.327
?     3.896 3.339
?     ?     3.498
?     ?     2.122
2.893 ?     2.898
2.412 ?     3.768
?     3.082 3.135
3.609 ?     3.400
?     3.397 3.627
?     ?     2.508
?     2.205 2.298
2.764 ?     3.281
?     ?     3.317
2.371 2.722 3.116
?     ?     0.203
?     ?     0.116
?     ?     0.690
0.107 0.705 0.954
0.081 ?     0.936
?     ?     0.976
?     ?     0.469
0.269 ?     0.948
?     ?     0.767
?     0.582 0.654
?     ?     0.113
?     0.962 0.411
0.297 ?     0.898
?     ?     0.588
?     ?     0.682
?     0.197 0.556
?     ?     0.019
?     0.159 0.224
0.877 ?     0.774
?     ?     0.268
0.562 0.283 0.931
?     ?     0.283
?     ?     0.366
?     0.352 0.711
0.006 ?     0.365
?     ?     0.425
?     0.969 0.432
0.190 ?     0.600
?     ?     0.773
?     ?     0.986
?     ?     0.361
?     ?     0.058
?     ?     0.392
?     ?     0.934
0.529 ?     0.726
?     0.628 0.461
?     ?     0.339
?     ?     0.697
?     ?     0.404
?     0.745 0.169
?     ?     0.031
0.521 0.529 0.032
?     ?     0.618
?     ?     0.563
?     ?     0.705
?     0.297 0.574
?     ?     0.886
0.954 ?     0.282
0.132 ?     0.335
?     ?     0.242
?     3.668 3.180
2.122 ?     3.029
